filename,book_id,page_id,strip_width_mm,x_start,x_end
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_000_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,597,930
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_001_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,715,1048
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_002_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,921,1254
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_003_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,1159,1492
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_004_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,415,748
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_005_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,168,501
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_006_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,1188,1521
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_007_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,1103,1436
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_008_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,411,744
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_009_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,101,434
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_010_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,240,573
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_011_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,155,488
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_012_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,355,688
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_013_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005,30,333,666
