filename,book_id,page_id
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_000_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_001_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_002_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_003_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_004_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_005_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_006_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_007_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_008_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_009_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_010_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_011_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_012_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_013_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_014_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_015_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_016_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_017_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_018_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00005_strip_019_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00005
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_000_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_001_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_002_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_003_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_004_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_005_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_006_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_007_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_008_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_009_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_010_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_011_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_012_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_013_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_014_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_015_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_016_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
mushaf_15_MusahffMedinaAdie1447-page-00006_strip_017_30mm.png,mushaf,15_MusahffMedinaAdie1447-page-00006
